image,cell_type,model,n_mito,mean_area,median_area,std_area,mean_solidity,median_solidity,std_solidity,mean_extent,median_extent,std_extent,mean_major_axis,median_major_axis,std_major_axis,mean_minor_axis,median_minor_axis,std_minor_axis,mean_aspect_ratio,median_aspect_ratio,std_aspect_ratio,mean_thickness,median_thickness,std_thickness,mean_inertia_min,median_inertia_min,std_inertia_min,mean_inertia_mid,median_inertia_mid,std_inertia_mid,mean_inertia_max,median_inertia_max,std_inertia_max,mean_eccentricity,median_eccentricity,std_eccentricity,mean_perimeter,median_perimeter,std_perimeter,mean_form_factor,median_form_factor,std_form_factor,mean_roundness,median_roundness,std_roundness,mean_skel_length,median_skel_length,std_skel_length,mean_n_branch_points,median_n_branch_points,std_n_branch_points,mean_n_branches,median_n_branches,std_n_branches,mean_tortuosity,median_tortuosity,std_tortuosity,mean_total_branch_length,median_total_branch_length,std_total_branch_length,mean_mean_branch_length,median_mean_branch_length,std_mean_branch_length,mean_median_branch_length,median_median_branch_length,std_median_branch_length,mean_std_branch_length,median_std_branch_length,std_std_branch_length
Series086_H10,HELA,physegt_clsm_p3,162.0,313.4382716049383,199.0,338.6955904344323,0.7353615390500696,0.742806822395254,0.0823899208421963,0.5019435198670275,0.5024582457220028,0.0938137951096124,25.66842799172161,22.250598964516755,13.471904991760578,14.972898660746669,14.242728326700789,8.164798220210418,1.837288245152112,1.6793516287194148,0.6028480249050057,2.209727977848509,2.082101582701153,0.8916224559343098,18.17822651760878,12.678549323216048,19.613045846362,52.52252622957631,30.94957487236749,58.69118980509818,52.52252622957631,30.94957487236749,58.69118980509818,0.7765903816534058,0.8033623076028424,0.1371011177539308,94.91464304237928,82.32590180780451,66.87595224520446,2.6405943371628062,2.3801692595817,1.2177416057676098,0.4924490680460604,0.4900426371497692,0.1588680204643344,54.141975308641975,40.0,45.70988321204343,2.04320987654321,1.0,1.6493499109622989,22.3641975308642,17.0,18.314723272645267,1.8623545047671723,1.755048786430853,0.7369435529935322,135.16201453631402,101.0,111.71377418091478,6.4299773404288505,5.927700348432056,5.835201685943861,5.745347869647351,5.0,5.890338335657333,1.5261022914967302,1.4604179404773077,0.8276793329725516
Series089_H9,HELA,physegt_clsm_p3,331.0,354.30333333333334,181.5,449.8875170405252,0.7041088330642631,0.707857495380307,0.0933443571319851,0.4672042390451501,0.4672121356903965,0.105204905318761,27.50461313694765,24.224384971280635,14.48079530309312,15.7432489418034,12.892290651368569,10.384145027148096,2.033593584515807,1.8233406794418947,0.855358510625171,2.1660919991124987,1.8258966217621453,1.006572755128742,22.2300221992774,10.388212970844382,31.27005829290957,60.38732352645231,36.676352768055,66.70207537122052,60.38732352645231,36.676352768055,66.70207537122052,0.7920516195390208,0.836185025746165,0.144902588895823,104.68820060721558,80.80813485483816,81.0838108739867,2.959438077098661,2.623685304497388,1.4058901679349995,0.4476803816672471,0.4240233763647368,0.1721837101223363,60.4,41.5,56.89756878227165,2.293333333333333,2.0,1.9443822212266348,25.43,18.0,22.705765053542383,1.8793202427398927,1.6679755810876633,0.8684947238046412,152.73545955399513,105.0,139.5805680097007,6.209725140464832,5.923076923076923,4.786075816865726,5.557126220661784,5.0,4.825773089885673,1.428342465177052,1.332538067273596,0.7330404532098087
Series090_H8,HELA,physegt_clsm_p3,301.0,350.92,167.5,476.80941014203984,0.6972197670016462,0.7020253682487725,0.1013035837194036,0.4860406614079634,0.4844732142857143,0.0981540712619341,25.706738602417214,21.89000556102644,14.984525140666374,16.058329338394795,12.770513087624831,10.292810438542896,1.7097600067208774,1.563744582493183,0.5101793377584685,2.121043874186625,1.6433837243852938,1.1220168997787845,22.73824299150803,10.192980678423458,29.90560919981556,55.33577520401688,29.94829600524818,68.50986104686928,55.33577520401688,29.94829600524818,68.50986104686928,0.7510015176994645,0.7687985868747167,0.1408260710477062,105.57763507287238,79.06549416771887,84.47753730112883,3.17072848781945,2.6818253348618777,1.7974174762990036,0.4940719012055399,0.4795450038315327,0.1569584272920177,59.92333333333333,41.0,53.06672644468996,2.36,2.0,1.9791580701567693,24.69333333333333,17.0,21.757587693083583,2.062096465483972,1.844227720621555,0.8781897392879678,149.0123518523489,101.5,131.32779565519272,7.327706201662166,5.9,9.965377499606186,6.67401851901556,5.0,10.05994829483635,1.4175175905418156,1.3887324336486886,0.7334002164154932
Series093_H7,HELA,physegt_clsm_p3,114.0,450.62280701754383,262.5,572.399112237577,0.7215012068576923,0.7267057166117196,0.0846921247546276,0.4846980667417862,0.4756849430762474,0.0928699409844245,30.74297765210254,26.77201598588276,17.45662778321902,17.67946035406957,16.54907160919672,10.0486390493237,1.8663553918895104,1.7351187503688386,0.5497460516688267,2.474067263646738,2.1936782160238275,1.1516360846376263,25.846154072169423,17.11714543314502,28.97207735943209,78.11653302997065,44.79630516718149,110.60182555986697,78.11653302997065,44.79630516718149,110.60182555986697,0.7926361376267015,0.8172160951742249,0.1198832217953475,119.16381916899483,94.20762979144982,86.90840444767649,3.0251874554069422,2.745478912726325,1.4544777856895734,0.4706051175617355,0.4499822889731573,0.1449571837951733,68.86842105263158,50.5,55.54854257059722,2.5964912280701755,2.0,2.0378837416937934,28.535087719298247,21.0,22.251031840675648,2.0236505299737124,1.8845406828725288,0.776962067270487,172.34649636714735,128.5,134.73798638842229,7.055251870252919,5.935416666666667,11.10392747598404,6.337724437322791,5.0,11.174228647721446,1.6251059636328573,1.4892093090569642,0.8854902534572388
Series095_H6,HELA,physegt_clsm_p3,482.0,222.16333333333333,154.0,216.337722066423,0.6942552657840405,0.6917420814479638,0.0883496393657506,0.460714685172556,0.459766421868625,0.0932933872593635,23.81341448061671,22.535105508712668,11.049841714446774,13.207741795478292,12.105184225391522,7.289183301601051,1.9856292819518533,1.8056647668816928,0.7870663458071729,1.814934476303796,1.6856717771729022,0.5628982293140176,14.223539783772734,9.158477582693749,16.91582237697241,43.07360694624835,31.74013640415975,39.207765807280296,43.07360694624835,31.74013640415975,39.207765807280296,0.7909210209930925,0.8326409962563447,0.1497586119700678,88.03844845571632,73.49747468305833,59.6297976526178,3.0405430064313963,2.771427814526054,1.5495040226588754,0.4412564944525473,0.4207972242774018,0.1554858733928794,49.016666666666666,36.5,40.64205197684892,1.9666666666666663,1.0,1.6244657241348277,21.09,17.0,16.62413606777808,1.845682069351288,1.6750870413692016,0.7823134419977489,125.31666666666666,99.0,100.41780912213176,5.9366905411343005,5.8619047619047615,0.4338421521119718,5.315,5.0,0.5597097462078001,1.4086629131684545,1.3364329339297143,0.6445716133108316
Series099_H5,HELA,physegt_clsm_p3,198.0,321.520202020202,244.0,284.45323610616964,0.7257657835583474,0.7285741391630873,0.087255453000097,0.4986614009149156,0.4965013308763308,0.0983172386725596,27.084598084178744,25.85863761823859,12.495272308795537,15.98292712115028,14.98297999154414,7.898829795195569,1.8134888427182057,1.6460213085573805,0.6544485430191822,2.1924460242930683,2.1459123324332565,0.7236441062555524,19.8653419683419,14.03062943136286,18.77635331243332,55.606705215778206,41.79216866277242,50.55180343184396,55.606705215778206,41.79216866277242,50.55180343184396,0.764995849743441,0.7943000477739216,0.1387172075620971,102.8373198985801,88.90001794687493,62.49750278197194,2.9030319998687792,2.768745347334212,1.2316508915826774,0.4937243576231347,0.4994865903100022,0.1585577034443255,59.57070707070707,47.0,46.58350328483174,2.303030303030303,2.0,1.7463066102089588,24.93434343434344,21.0,18.876813106395105,1.965578745715485,1.8886179403219656,0.7790606086194113,149.94154160581311,123.5,114.95216146252186,5.9980538233334615,5.930952380952381,0.484711096229081,5.300127464398975,5.0,0.570958051544351,1.540380585594323,1.4851359146187595,0.7024409617236695
Series102-_H4,HELA,physegt_clsm_p3,246.0,255.35365853658536,166.5,253.6636611231889,0.696729270365301,0.7080535902453711,0.0963039045504193,0.4597760850429545,0.4615732054756445,0.1031441205227627,25.98478161052537,23.855903492300943,12.374879244644555,13.53098709708778,12.094054836464146,7.149162197109548,2.1369289546832047,1.856183967970839,0.9216547217343036,1.940227672862307,1.767581355821796,0.680759446189233,14.63738324638351,9.141643648878071,15.127921190495174,51.77165697913952,35.56927860491399,53.082513006339575,51.77165697913952,35.56927860491399,53.082513006339575,0.8136844461477303,0.8424667805340975,0.1320982986797667,91.27786202141942,74.56549416771887,59.93057816626282,2.9238261863214183,2.6926225078112047,1.321020014975521,0.4205018118248064,0.4129424943857162,0.1605688375117593,50.22357723577236,36.0,40.84984915298061,1.951219512195122,1.5,1.494454021284394,21.617886178861788,16.5,17.01267835468751,1.757745344017841,1.5501775547980752,0.7230360345564453,128.754304967233,92.0,102.64751085051638,5.9699961884223285,5.925824175824176,0.4645551600730803,5.337638300566343,5.0,0.5296823657579187,1.427802890193664,1.3703450680025189,0.6599257136066887
Series103_H3,HELA,physegt_clsm_p3,290.0,201.2344827586207,146.5,178.56012273637418,0.7060956359334704,0.7106511627906977,0.098569864599125,0.4696456898475794,0.4673486786018755,0.0966070548434845,23.25449829624868,21.79699735354938,10.884128424697815,12.651699758112038,11.411641394074282,6.72371235311972,2.021056175722202,1.745442405795533,0.8585450549765968,1.8147632248731984,1.7407242636447822,0.4792988201707426,12.829613411056684,8.14089268420707,14.06720294317522,41.20224641097173,29.69435038368695,38.99044987872438,41.20224641097173,29.69435038368695,38.99044987872438,0.7952884963550924,0.8196107830140058,0.1376058877124814,79.71395027197526,67.28731957466684,52.065757663029125,2.7130332745597845,2.381360649385414,1.34568326364703,0.4406080105809031,0.4406919148078407,0.1587037436506753,40.265517241379314,31.5,30.752883530201142,1.6310344827586207,1.0,1.2778223524137386,17.724137931034484,14.0,13.762258615062848,1.5800096823332002,1.433071378982199,0.6156487596409148,104.48275862068964,84.0,80.61599939160499,5.934452301061109,5.884033613445379,0.5203800742616301,5.370689655172414,5.0,0.6267069437474428,1.3251147152735048,1.2295324040936142,0.7089903105747428
Series107_H2,HELA,physegt_clsm_p3,192.0,329.7291666666667,239.5,338.89331160308484,0.7294020044640085,0.7298744216787838,0.086784009533939,0.5099884494852412,0.5143518518518518,0.0958932830356285,26.58835560419779,24.2057964782863,12.459281735065678,16.036279140581893,14.576901474682494,8.611908812839118,1.798642106068704,1.629932183494501,0.6270802691592494,2.2208717040585824,2.113112984475701,0.8233137110390167,20.70795137970738,13.280529977393613,24.55358029386664,53.88589719306358,36.62041852969239,52.12191511214865,53.88589719306358,36.62041852969239,52.12191511214865,0.7681500859621102,0.789664371729691,0.1301954162442473,103.04670768750158,88.79036790187178,69.51512983834938,2.901957343156458,2.465317394906247,1.376931909838662,0.4968965403497956,0.5134138587440943,0.1489261983197635,57.90104166666666,46.0,46.45860163179255,2.25,2.0,1.7440374613713625,24.09895833333333,20.0,18.389750286004357,1.96636015846404,1.8028378740144932,0.7857335853136133,145.0726062182833,117.0,112.42966617067616,6.269591076499296,5.926654740608229,4.274751038231333,5.57260621828332,5.0,4.328261215630266,1.5341875397952467,1.4168444407015408,0.762686809777374
Series109_H1,HELA,physegt_clsm_p3,446.0,195.4333333333333,140.0,183.8754258247203,0.6936905216277686,0.7024788454343551,0.1007050790125291,0.4639827391879625,0.4741586538461538,0.1095398374167621,22.84599425161065,21.663752314805976,10.603326103514876,12.283454867248109,11.036200647183431,6.660023419757154,2.0487958213785404,1.8274956079325928,0.8060741040414476,1.763509576912427,1.6560224957463163,0.523355436577631,12.202448464214692,7.612394154013115,13.640375373223556,39.64812361263169,29.33264699557773,36.65648298434504,39.64812361263169,29.33264699557773,36.65648298434504,0.8096236175875506,0.8370031672644334,0.1256508041209584,79.35619618031974,68.47970773009196,53.07640144705741,2.812196511358545,2.550784148396016,1.3961766295991156,0.4257270575571341,0.4076089005603454,0.1582943204645501,42.16666666666666,33.0,32.955508728519966,1.6766666666666667,1.0,1.2801519007090092,18.296666666666667,15.0,13.960252703857316,1.6623640020137933,1.5566071435409958,0.6620622520154819,108.44659280122757,86.0,83.4951198222554,5.914758042638827,5.8603896103896105,0.4656937963710927,5.354926134560894,5.0,0.548443635614024,1.3233524578728366,1.2066758241067097,0.6617498633141796
Series022-_B1,BXPC3,physegt_clsm_p3,152.0,336.0328947368421,267.5,292.4424238826462,0.7489772876645503,0.7555908662900188,0.0697647893410329,0.5150118358169665,0.5162586455689904,0.0872473588202103,27.65553222375194,26.50584108897316,12.035905786312068,16.24271447003013,15.057834395783493,7.8531961320321635,1.830718388712414,1.5704396379068253,0.7177836419633403,2.316759983233537,2.2611190026818875,0.6771595779984305,20.3436539276932,14.17117534071675,21.28614259827147,56.85571816724764,43.90997608228327,49.30904958039756,56.85571816724764,43.90997608228327,49.30904958039756,0.7584581306661967,0.771039431728353,0.1467402307418562,102.8722593936512,91.58935777509512,59.00526176219792,2.733199511279038,2.471442019651845,1.0695717598304266,0.5140516472906875,0.5146981002797575,0.1599888354163354,59.38815789473684,48.5,44.084555318833374,2.263157894736842,2.0,1.6532935315257968,25.00657894736842,20.0,17.94600699999215,1.9714537126153449,1.8022687913408384,0.7270032526748094,150.13434496504024,124.5,108.97970935208384,6.011136727608458,5.960606060606061,0.5406205607993987,5.272502859777065,5.0,0.5910178846771329,1.5604135480010095,1.5265834860075151,0.7136286539767628
Series025_B2,BXPC3,physegt_clsm_p3,180.0,320.52222222222224,242.5,266.9317527333231,0.7409052936694555,0.7475580844001897,0.0844847930575096,0.5042655954952888,0.5078144078144078,0.0982178571387469,27.195194489249783,25.121613623203377,12.115650301864507,15.691412299565984,15.019875546182764,6.932588312570411,1.850224522046312,1.6607853779408557,0.6903211843956474,2.292903764448984,2.1739274310820864,0.7620083885264063,18.3925750416599,14.099797950812013,15.537974142855864,55.39797409657449,39.443642516104745,50.63890594525787,55.39797409657449,39.443642516104745,50.63890594525787,0.7722137267090411,0.7983913807466221,0.1357084523084355,99.97375652737728,87.20762979144982,55.97204104932654,2.757913187760554,2.582004421676064,1.1289576957212122,0.5035410748359993,0.4883943277415967,0.1646776582804918,58.57222222222222,45.0,42.47862607052524,2.1444444444444444,2.0,1.5352242768556368,25.022222222222226,20.0,17.58154194841711,1.961626056131468,1.8647968968246231,0.7049728441296148,149.83333333333334,119.5,106.50965005836586,5.977020582982621,5.923076923076923,0.3785749542751957,5.247222222222222,5.0,0.4549029878941902,1.5908589133276618,1.5341993613333365,0.6164049387973707
Series036_B3,BXPC3,physegt_clsm_p3,109.0,459.29357798165137,368.0,440.42757170965166,0.7352530276257234,0.7441860465116279,0.0861449743354703,0.5085758632559574,0.5102040816326531,0.0974532892582516,30.628632585214568,30.178427294245488,14.08063939975983,18.8626027917359,18.009521203714286,9.244840446985393,1.7084189863493324,1.599099486537191,0.5048403150645202,2.649970806638584,2.4597109468391687,1.0699398612327626,27.579053685563757,20.271428374189657,28.010454856138537,71.0235962466335,56.92109212212881,63.926643001260665,71.0235962466335,56.92109212212881,63.926643001260665,0.7449829371863694,0.7803428250904848,0.1495754258614699,121.5724882136304,114.81727983645295,73.4062324296258,2.944206914333308,2.5856734413984714,1.3405711007418624,0.530738806549696,0.5201640619131263,0.1647634213911912,75.0091743119266,64.0,51.55979790368362,2.697247706422018,2.0,1.8794132753980544,30.412844036697248,26.0,20.317304510039143,2.264470764730368,2.230064634753659,0.8226064387397479,185.6110770879896,156.0,124.16334142958716,7.300942937276953,6.0,9.269077834281417,6.5422697485400345,5.0,9.37237005042458,1.724141961936712,1.6754868653103985,0.7573997985491807
